Device_ID,Timestamp,Reminder_Type,Scheduled_Time,Reminder_Sent,Acknowledged,Scheduled_DateTime,Type_Appointment,Type_Exercise,Type_Hydration,Type_Medication,Hour,Day_of_Week,Time_of_Day,Is_Weekend,Adherence,Priority,Priority_Score
D1000,2025-01-02 11:25:00,Exercise,13:00:00,0,0,2025-01-02 13:00:00,False,True,False,False,13,3,Afternoon,0,,Medium,2
D1001,2025-01-03 02:52:00,Hydration,13:00:00,1,1,2025-01-03 13:00:00,False,False,True,False,13,4,Afternoon,0,1.0,Medium,2
D1002,2025-01-08 13:50:00,Appointment,13:30:00,0,0,2025-01-08 13:30:00,True,False,False,False,13,2,Afternoon,0,,High,3
D1003,2025-01-05 05:16:00,Exercise,08:00:00,0,0,2025-01-05 08:00:00,False,True,False,False,8,6,Morning,1,,Medium,2
D1004,2025-01-01 04:20:00,Medication,11:30:00,0,0,2025-01-01 11:30:00,False,False,False,True,11,2,Morning,0,,High,3
D1005,2025-01-20 10:39:00,Hydration,14:30:00,0,0,2025-01-20 14:30:00,False,False,True,False,14,0,Afternoon,0,,Medium,2
D1006,2025-01-25 10:05:00,Medication,15:30:00,0,0,2025-01-25 15:30:00,False,False,False,True,15,5,Afternoon,1,,High,3
D1007,2025-01-02 21:13:00,Appointment,22:00:00,1,0,2025-01-02 22:00:00,True,False,False,False,22,3,Night,0,0.0,High,3
D1008,2025-01-21 15:25:00,Medication,12:30:00,0,0,2025-01-21 12:30:00,False,False,False,True,12,1,Afternoon,0,,High,3
D1009,2025-01-15 02:47:00,Exercise,20:30:00,1,1,2025-01-15 20:30:00,False,True,False,False,20,2,Evening,0,1.0,Medium,2
D1010,2025-01-24 13:58:00,Appointment,20:00:00,1,1,2025-01-24 20:00:00,True,False,False,False,20,4,Evening,0,1.0,High,3
D1011,2025-01-10 06:39:00,Exercise,12:30:00,1,1,2025-01-10 12:30:00,False,True,False,False,12,4,Afternoon,0,1.0,Medium,2
D1012,2025-01-25 01:18:00,Appointment,10:30:00,0,0,2025-01-25 10:30:00,True,False,False,False,10,5,Morning,1,,High,3
D1013,2025-01-06 12:23:00,Appointment,20:30:00,0,0,2025-01-06 20:30:00,True,False,False,False,20,0,Evening,0,,High,3
D1014,2025-01-26 14:14:00,Hydration,13:00:00,0,0,2025-01-26 13:00:00,False,False,True,False,13,6,Afternoon,1,,Medium,2
D1015,2025-01-07 09:45:00,Hydration,13:00:00,0,0,2025-01-07 13:00:00,False,False,True,False,13,1,Afternoon,0,,Medium,2
D1016,2025-01-08 19:04:00,Appointment,07:30:00,1,1,2025-01-08 07:30:00,True,False,False,False,7,2,Morning,0,1.0,High,3
D1017,2025-01-21 18:14:00,Appointment,19:30:00,1,1,2025-01-21 19:30:00,True,False,False,False,19,1,Evening,0,1.0,High,3
D1018,2025-01-18 22:50:00,Medication,16:00:00,0,0,2025-01-18 16:00:00,False,False,False,True,16,5,Afternoon,1,,High,3
D1019,2025-01-30 20:49:00,Medication,13:00:00,1,1,2025-01-30 13:00:00,False,False,False,True,13,3,Afternoon,0,1.0,High,3
D1020,2025-01-29 15:14:00,Exercise,07:00:00,1,0,2025-01-29 07:00:00,False,True,False,False,7,2,Morning,0,0.0,Medium,2
D1021,2025-01-12 11:38:00,Medication,20:00:00,1,0,2025-01-12 20:00:00,False,False,False,True,20,6,Evening,1,0.0,High,3
D1022,2025-01-17 02:41:00,Appointment,11:30:00,0,0,2025-01-17 11:30:00,True,False,False,False,11,4,Morning,0,,High,3
D1023,2025-01-12 09:28:00,Hydration,06:30:00,0,0,2025-01-12 06:30:00,False,False,True,False,6,6,Morning,1,,Medium,2
D1024,2025-01-09 15:48:00,Appointment,07:30:00,1,1,2025-01-09 07:30:00,True,False,False,False,7,3,Morning,0,1.0,High,3
D1025,2025-01-05 13:05:00,Medication,11:30:00,1,1,2025-01-05 11:30:00,False,False,False,True,11,6,Morning,1,1.0,High,3
D1026,2025-01-04 00:59:00,Medication,07:00:00,0,0,2025-01-04 07:00:00,False,False,False,True,7,5,Morning,1,,High,3
D1027,2025-01-28 07:52:00,Appointment,20:30:00,1,1,2025-01-28 20:30:00,True,False,False,False,20,1,Evening,0,1.0,High,3
D1028,2025-01-01 09:40:00,Appointment,19:00:00,0,0,2025-01-01 19:00:00,True,False,False,False,19,2,Evening,0,,High,3
D1029,2025-01-30 21:02:00,Medication,15:00:00,0,0,2025-01-30 15:00:00,False,False,False,True,15,3,Afternoon,0,,High,3
D1030,2025-01-07 02:12:00,Exercise,15:00:00,0,0,2025-01-07 15:00:00,False,True,False,False,15,1,Afternoon,0,,Medium,2
D1031,2025-01-08 19:23:00,Medication,12:30:00,1,0,2025-01-08 12:30:00,False,False,False,True,12,2,Afternoon,0,0.0,High,3
D1032,2025-01-30 03:43:00,Appointment,18:00:00,0,0,2025-01-30 18:00:00,True,False,False,False,18,3,Evening,0,,High,3
D1033,2025-01-06 20:01:00,Appointment,08:30:00,0,0,2025-01-06 08:30:00,True,False,False,False,8,0,Morning,0,,High,3
D1034,2025-01-23 06:47:00,Exercise,07:30:00,1,0,2025-01-23 07:30:00,False,True,False,False,7,3,Morning,0,0.0,Medium,2
D1035,2025-01-30 05:07:00,Hydration,22:00:00,0,0,2025-01-30 22:00:00,False,False,True,False,22,3,Night,0,,Medium,2
D1036,2025-01-06 02:42:00,Exercise,20:30:00,1,1,2025-01-06 20:30:00,False,True,False,False,20,0,Evening,0,1.0,Medium,2
D1037,2025-01-30 23:40:00,Medication,08:00:00,1,1,2025-01-30 08:00:00,False,False,False,True,8,3,Morning,0,1.0,High,3
D1038,2025-01-04 17:22:00,Hydration,15:30:00,0,0,2025-01-04 15:30:00,False,False,True,False,15,5,Afternoon,1,,Medium,2
D1039,2025-01-08 15:23:00,Medication,17:00:00,0,0,2025-01-08 17:00:00,False,False,False,True,17,2,Evening,0,,High,3
D1040,2025-01-26 17:52:00,Appointment,22:00:00,0,0,2025-01-26 22:00:00,True,False,False,False,22,6,Night,1,,High,3
D1041,2025-01-23 05:51:00,Exercise,11:00:00,0,0,2025-01-23 11:00:00,False,True,False,False,11,3,Morning,0,,Medium,2
D1042,2025-01-18 06:29:00,Hydration,10:30:00,1,1,2025-01-18 10:30:00,False,False,True,False,10,5,Morning,1,1.0,Medium,2
D1043,2025-01-01 19:58:00,Exercise,22:00:00,1,0,2025-01-01 22:00:00,False,True,False,False,22,2,Night,0,0.0,Medium,2
D1044,2025-01-14 00:57:00,Hydration,17:00:00,1,1,2025-01-14 17:00:00,False,False,True,False,17,1,Evening,0,1.0,Medium,2
D1045,2025-01-01 13:42:00,Medication,19:00:00,1,1,2025-01-01 19:00:00,False,False,False,True,19,2,Evening,0,1.0,High,3
D1046,2025-01-03 08:00:00,Medication,13:30:00,0,0,2025-01-03 13:30:00,False,False,False,True,13,4,Afternoon,0,,High,3
D1047,2025-01-12 16:49:00,Hydration,14:30:00,0,0,2025-01-12 14:30:00,False,False,True,False,14,6,Afternoon,1,,Medium,2
D1048,2025-01-23 04:07:00,Hydration,07:00:00,0,0,2025-01-23 07:00:00,False,False,True,False,7,3,Morning,0,,Medium,2
D1049,2025-01-20 19:57:00,Appointment,18:30:00,1,1,2025-01-20 18:30:00,True,False,False,False,18,0,Evening,0,1.0,High,3
D1050,2025-01-25 11:04:00,Medication,18:00:00,1,1,2025-01-25 18:00:00,False,False,False,True,18,5,Evening,1,1.0,High,3
D1051,2025-01-21 18:48:00,Exercise,12:30:00,0,0,2025-01-21 12:30:00,False,True,False,False,12,1,Afternoon,0,,Medium,2
D1052,2025-01-05 00:23:00,Medication,17:00:00,1,1,2025-01-05 17:00:00,False,False,False,True,17,6,Evening,1,1.0,High,3
D1053,2025-01-21 05:21:00,Appointment,08:30:00,1,1,2025-01-21 08:30:00,True,False,False,False,8,1,Morning,0,1.0,High,3
D1054,2025-01-30 10:13:00,Exercise,07:30:00,0,0,2025-01-30 07:30:00,False,True,False,False,7,3,Morning,0,,Medium,2
D1055,2025-01-15 18:23:00,Hydration,13:30:00,0,0,2025-01-15 13:30:00,False,False,True,False,13,2,Afternoon,0,,Medium,2
D1056,2025-01-23 23:49:00,Appointment,12:00:00,1,1,2025-01-23 12:00:00,True,False,False,False,12,3,Afternoon,0,1.0,High,3
D1057,2025-01-22 09:22:00,Medication,15:00:00,0,0,2025-01-22 15:00:00,False,False,False,True,15,2,Afternoon,0,,High,3
D1058,2025-01-13 20:51:00,Exercise,21:00:00,1,0,2025-01-13 21:00:00,False,True,False,False,21,0,Evening,0,0.0,Medium,2
D1059,2025-01-30 00:40:00,Appointment,10:00:00,0,0,2025-01-30 10:00:00,True,False,False,False,10,3,Morning,0,,High,3
