Inactivity_Duration_normalized,Movement_Activity,Movement_Lying,Movement_No Movement,Movement_Sitting,Movement_Walking,Location_Bathroom,Location_Bedroom,Location_Kitchen,Location_Living Room,Hour,Day,Is_Night,Fall_Detected,Alert_Triggered,Risk_Score
0.0,No Movement,False,True,False,False,False,False,True,False,16,7,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,15,20,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,2,2,True,0,0,0.0
0.0,Lying,True,False,False,False,False,False,True,False,22,1,True,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,16,3,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,12,19,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,10,4,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,7,21,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,23,10,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,16,4,False,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,7,13,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,6,9,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,True,False,22,1,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,10,17,False,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,1,29,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,2,23,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,10,13,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,12,4,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,8,6,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,21,11,False,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,16,1,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,17,20,False,0,0,0.0
0.7729549248747913,No Movement,False,True,False,False,True,False,False,False,19,19,False,1,1,6.545909849749583
0.0,Lying,True,False,False,False,False,False,True,False,20,1,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,7,4,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,2,2,True,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,17,21,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,2,21,True,0,0,0.0
0.15692821368948248,No Movement,False,True,False,False,False,False,True,False,22,3,True,1,0,5.313856427378965
0.0,Sitting,False,False,True,False,True,False,False,False,11,18,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,16,9,False,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,20,5,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,12,15,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,15,17,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,14,17,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,18,5,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,True,False,13,10,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,4,17,True,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,3,27,True,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,1,23,True,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,23,8,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,19,25,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,18,16,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,3,25,True,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,5,22,True,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,21,14,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,17,12,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,3,21,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,7,27,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,20,6,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,23,11,True,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,7,17,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,11,27,False,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,17,14,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,7,14,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,13,24,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,20,1,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,6,3,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,18,15,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,12,30,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,6,8,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,12,9,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,3,25,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,15,1,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,3,8,True,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,True,False,20,27,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,11,29,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,22,28,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,14,12,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,8,24,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,True,False,12,21,False,0,0,0.0
0.5108514190317196,No Movement,False,True,False,False,True,False,False,False,17,12,False,1,0,6.0217028380634385
0.0,Walking,False,False,False,True,False,True,False,False,21,6,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,6,25,False,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,16,16,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,19,1,False,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,21,27,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,22,11,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,18,7,False,0,0,0.0
0.7779632721202003,No Movement,False,True,False,False,False,False,True,False,5,4,True,1,1,6.555926544240401
0.0,Walking,False,False,False,True,True,False,False,False,14,6,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,22,21,True,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,2,5,True,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,1,26,True,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,20,12,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,True,False,10,19,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,True,False,10,5,False,0,0,0.0
0.0,Walking,False,False,False,True,False,True,False,False,7,10,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,11,25,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,7,29,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,16,3,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,10,4,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,0,8,True,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,8,27,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,18,27,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,3,28,True,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,True,False,10,4,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,16,19,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,12,23,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,21,17,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,6,10,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,20,16,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,4,21,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,19,8,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,3,18,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,18,27,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,4,25,True,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,17,13,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,5,4,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,0,9,True,0,0,0.0
0.0,Lying,True,False,False,False,False,False,True,False,10,11,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,10,17,False,0,0,0.0
0.7612687813021703,No Movement,False,True,False,False,True,False,False,False,10,30,False,1,1,6.522537562604341
0.0,Sitting,False,False,True,False,False,False,False,True,9,22,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,13,23,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,False,True,8,25,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,6,18,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,True,False,False,3,1,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,5,15,True,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,3,27,True,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,7,21,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,0,27,True,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,True,False,9,26,False,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,0,29,True,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,16,18,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,21,30,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,23,20,True,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,23,8,True,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,13,12,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,16,30,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,3,20,True,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,2,21,True,0,0,0.0
0.47746243739565947,No Movement,False,True,False,False,False,True,False,False,19,9,False,1,1,5.954924874791319
0.0,Sitting,False,False,True,False,False,True,False,False,4,27,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,3,4,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,2,17,True,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,1,10,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,True,False,11,5,False,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,9,20,False,0,0,0.0
0.0,Sitting,False,False,True,False,False,False,True,False,4,15,True,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,15,21,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,11,18,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,7,13,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,17,12,False,0,0,0.0
0.0,Lying,True,False,False,False,False,False,False,True,8,21,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,11,1,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,8,11,False,0,0,0.0
0.0,Walking,False,False,False,True,True,False,False,False,0,9,True,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,15,19,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,15,3,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,13,15,False,0,0,0.0
0.0,Lying,True,False,False,False,True,False,False,False,22,29,True,0,0,0.0
0.0,No Movement,False,True,False,False,False,False,False,True,9,20,False,0,0,0.0
0.0,Lying,True,False,False,False,False,True,False,False,8,10,False,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,5,19,True,0,0,0.0
0.11853088480801335,No Movement,False,True,False,False,False,False,False,True,21,18,False,1,1,5.237061769616027
0.0,Walking,False,False,False,True,False,False,False,True,22,19,True,0,0,0.0
0.0,Sitting,False,False,True,False,True,False,False,False,17,17,False,0,0,0.0
0.0,Walking,False,False,False,True,False,False,False,True,5,15,True,0,0,0.0
0.0,No Movement,False,True,False,False,True,False,False,False,23,4,True,0,0,0.0
0.0,Sitting,False,False,True,False,False,True,False,False,17,12,False,0,0,0.0
